vID,sID,week,dateIN-OUT,temp,invasion,block,cageID,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,PST-M,PAN-M,unID-F,Asobara,Diapriid,all-F
62,S0.2,INIT3,,CTRL,CLOSED,B1,C-03,B,9,13,4,5,1,0,NA,6,29,2,NA
63,S0.2,INIT3,,CTRL,CLOSED,B1,C-03,C,22,22,2,2,1,3,NA,4,5,2,NA
64,S0.2,INIT3,,CTRL,CLOSED,B1,C-04,A,20,25,1,1,2,5,NA,4,18,1,NA
65,S0.2,INIT3,,CTRL,CLOSED,B1,C-04,B,18,19,1,5,3,2,NA,2,12,4,NA
66,S0.2,INIT3,,CTRL,CLOSED,B1,C-04,C,35,31,0,1,0,2,NA,1,5,2,NA
67,S0.2,INIT3,,CTRL,CLOSED,B1,C-05,A,16,21,3,6,0,9,NA,6,20,3,NA
68,S0.2,INIT3,,CTRL,CLOSED,B1,C-05,B,17,31,0,0,1,0,NA,1,6,2,NA
69,S0.2,INIT3,,CTRL,CLOSED,B1,C-05,C,8,8,5,6,0,0,NA,1,6,1,NA
70,S0.2,INIT3,,CTRL,CLOSED,B1,C-06,A,14,25,0,0,8,2,NA,6,13,1,NA
71,S0.2,INIT3,,CTRL,CLOSED,B1,C-06,B,17,26,0,0,0,0,NA,0,9,2,NA
72,S0.2,INIT3,,CTRL,CLOSED,B1,C-06,C,19,24,1,2,0,1,NA,4,11,1,NA
73,S0.2,INIT3,,CTRL,CLOSED,B1,C-07,A,22,21,1,2,1,4,NA,1,8,1,NA
74,S0.2,INIT3,,CTRL,CLOSED,B1,C-07,B,12,25,0,0,0,2,NA,2,7,0,NA
75,S0.2,INIT3,,CTRL,CLOSED,B1,C-07,C,26,29,0,1,1,3,NA,4,1,1,NA
76,S0.2,INIT3,,CTRL,CLOSED,B1,C-08,A,24,29,1,1,1,1,NA,3,11,2,NA
77,S0.2,INIT3,,CTRL,CLOSED,B1,C-08,B,22,21,3,2,0,3,NA,5,6,3,NA
78,S0.2,INIT3,,CTRL,CLOSED,B1,C-08,C,9,13,0,0,1,0,NA,7,20,8,NA
79,S0.2,INIT3,,CTRL,CLOSED,B1,C-09,A,31,29,0,0,0,3,NA,8,3,4,NA
80,S0.2,INIT3,,CTRL,CLOSED,B1,C-09,B,26,23,1,1,0,0,NA,2,10,1,NA
81,S0.2,INIT3,,CTRL,CLOSED,B1,C-09,C,28,31,0,0,1,2,NA,6,4,2,NA
82,S0.2,INIT3,,CTRL,CLOSED,B1,C-10,A,21,18,1,4,3,1,NA,4,27,3,NA
83,S0.2,INIT3,,CTRL,CLOSED,B1,C-10,B,19,25,1,1,1,7,NA,5,6,3,NA
84,S0.2,INIT3,,CTRL,CLOSED,B1,C-10,C,15,25,0,2,0,0,NA,2,11,0,NA
85,S0.2,INIT3,,CTRL,CLOSED,B1,C-11,A,21,20,2,1,0,0,NA,1,8,0,NA
86,S0.2,INIT3,,CTRL,CLOSED,B1,C-11,B,16,18,0,0,1,4,NA,9,9,2,NA
87,S0.2,INIT3,,CTRL,CLOSED,B1,C-11,C,15,22,3,3,1,1,NA,3,13,2,NA
88,S0.2,INIT3,,CTRL,CLOSED,B1,C-12,A,21,26,3,1,0,0,NA,2,7,0,NA
89,S0.2,INIT3,,CTRL,CLOSED,B1,C-12,B,23,25,2,0,1,0,NA,0,13,0,NA
90,S0.2,INIT3,,CTRL,CLOSED,B1,C-12,C,24,35,0,0,8,2,NA,4,2,0,NA
91,S0.2,INIT3,,CTRL,CLOSED,B1,C-13,A,12,20,4,4,2,3,NA,5,14,4,NA
92,S0.2,INIT3,,CTRL,CLOSED,B1,C-13,B,16,25,4,0,0,3,NA,2,13,3,NA
93,S0.2,INIT3,,CTRL,CLOSED,B1,C-13,C,16,22,7,3,0,2,NA,11,9,0,NA
94,S0.2,INIT3,,CTRL,CLOSED,B1,C-14,A,3,10,11,8,2,0,NA,3,3,0,NA
95,S0.2,INIT3,,CTRL,CLOSED,B1,C-14,B,6,9,0,0,3,2,NA,7,28,12,NA
96,S0.2,INIT3,,CTRL,CLOSED,B1,C-14,C,10,18,0,0,3,0,NA,1,13,11,NA
97,S0.2,INIT3,,CTRL,CLOSED,B1,C-15,A,12,15,2,1,0,4,NA,15,16,1,NA
98,S0.2,INIT3,,CTRL,CLOSED,B1,C-15,B,14,10,3,3,6,2,NA,11,8,6,NA
99,S0.2,INIT3,,CTRL,CLOSED,B1,C-15,C,30,22,0,0,3,1,NA,1,9,2,NA
100,S0.2,INIT3,,CTRL,CLOSED,B1,C-16,A,23,20,5,5,2,5,NA,8,4,3,NA
101,S0.2,INIT3,,CTRL,CLOSED,B1,C-16,B,16,25,1,2,0,4,NA,6,6,3,NA
102,S0.2,INIT3,,CTRL,CLOSED,B1,C-16,C,38,21,2,0,4,2,NA,5,3,0,NA
103,S0.2,INIT3,,CTRL,CLOSED,B1,C-17,A,22,35,2,2,2,3,NA,3,1,3,NA
104,S0.2,INIT3,,CTRL,CLOSED,B1,C-17,B,12,17,8,11,0,4,NA,2,1,0,NA
105,S0.2,INIT3,,CTRL,CLOSED,B1,C-17,C,13,11,6,10,0,7,NA,5,8,1,NA
106,S0.2,INIT3,,CTRL,CLOSED,B1,C-18,A,14,14,2,3,2,1,NA,2,14,2,NA
107,S0.2,INIT3,,CTRL,CLOSED,B1,C-18,B,11,12,3,4,0,1,NA,2,23,1,NA
108,S0.2,INIT3,,CTRL,CLOSED,B1,C-18,C,8,16,0,0,2,3,NA,2,37,5,NA
109,S0.3,DEV1,,CTRL,CLOSED,B1,C-01,A,19,28,0,0,3,2,NA,6,20,4,NA
110,S0.3,DEV1,,CTRL,CLOSED,B1,C-01,B,32,24,1,3,1,0,NA,2,6,6,NA
111,S0.3,DEV1,,CTRL,CLOSED,B1,C-01,C,19,16,2,1,2,0,NA,3,33,20,NA
112,S0.3,DEV1,,CTRL,CLOSED,B1,C-02,A,25,38,0,0,3,0,NA,2,8,2,NA
113,S0.3,DEV1,,CTRL,CLOSED,B1,C-02,B,29,32,0,1,3,0,NA,2,2,2,NA
114,S0.3,DEV1,,CTRL,CLOSED,B1,C-02,C,20,20,1,0,2,0,NA,11,3,10,NA
115,S0.3,DEV1,,CTRL,CLOSED,B1,C-03,A,29,30,2,1,0,0,NA,1,2,5,NA
116,S0.3,DEV1,,CTRL,CLOSED,B1,C-03,B,26,22,0,1,0,4,NA,0,9,4,NA
117,S0.3,DEV1,,CTRL,CLOSED,B1,C-03,C,25,15,1,2,1,0,NA,1,11,6,NA
118,S0.3,DEV1,,CTRL,CLOSED,B1,C-04,A,27,31,1,2,0,4,NA,1,13,1,NA
119,S0.3,DEV1,,CTRL,CLOSED,B1,C-04,B,25,23,0,2,1,5,NA,4,10,8,NA
120,S0.3,DEV1,,CTRL,CLOSED,B1,C-04,C,4,7,7,8,0,3,NA,2,11,12,NA
121,S0.3,DEV1,,CTRL,CLOSED,B1,C-05,A,19,19,0,1,0,4,NA,2,22,5,NA
122,S0.3,DEV1,,CTRL,CLOSED,B1,C-05,B,28,32,2,3,0,2,NA,1,8,4,NA
123,S0.3,DEV1,,CTRL,CLOSED,B1,C-05,C,10,23,0,0,0,1,NA,5,19,4,NA
124,S0.3,DEV1,,CTRL,CLOSED,B1,C-06,A,20,12,5,6,6,6,NA,8,3,7,NA
125,S0.3,DEV1,,CTRL,CLOSED,B1,C-06,B,32,31,1,2,1,1,NA,3,4,0,NA
126,S0.3,DEV1,,CTRL,CLOSED,B1,C-06,C,27,21,0,0,0,2,NA,4,5,5,NA
127,S0.3,DEV1,,CTRL,CLOSED,B1,C-07,A,15,22,3,1,0,4,NA,1,9,0,NA
128,S0.3,DEV1,,CTRL,CLOSED,B1,C-07,B,18,28,0,0,1,1,NA,7,21,3,NA
129,S0.3,DEV1,,CTRL,CLOSED,B1,C-07,C,18,19,0,0,0,1,NA,0,18,4,NA
130,S0.3,DEV1,,CTRL,CLOSED,B1,C-08,A,13,22,4,1,0,5,NA,6,15,4,NA
131,S0.3,DEV1,,CTRL,CLOSED,B1,C-08,B,21,21,1,5,2,2,NA,4,15,1,NA
132,S0.3,DEV1,,CTRL,CLOSED,B1,C-08,C,19,12,0,0,0,9,NA,11,14,12,NA
133,S0.3,DEV1,,CTRL,CLOSED,B1,C-09,A,28,33,3,2,0,6,NA,2,3,9,NA
134,S0.3,DEV1,,CTRL,CLOSED,B1,C-09,B,24,21,0,0,0,0,NA,5,0,4,NA
135,S0.3,DEV1,,CTRL,CLOSED,B1,C-09,C,18,35,0,1,0,1,NA,0,3,2,NA
136,S0.3,DEV1,,CTRL,CLOSED,B1,C-10,A,14,14,0,0,0,0,NA,8,35,12,NA
137,S0.3,DEV1,,CTRL,CLOSED,B1,C-10,B,17,8,0,0,0,1,NA,3,29,11,NA
138,S0.3,DEV1,,CTRL,CLOSED,B1,C-10,C,18,21,0,0,0,8,NA,10,20,12,NA
139,S0.3,DEV1,,CTRL,CLOSED,B1,C-11,A,21,26,0,0,0,0,NA,0,4,0,NA
140,S0.3,DEV1,,CTRL,CLOSED,B1,C-11,B,21,23,6,3,0,0,NA,2,5,1,NA
141,S0.3,DEV1,,CTRL,CLOSED,B1,C-11,C,22,41,0,0,6,3,NA,8,1,0,NA
142,S0.3,DEV1,,CTRL,CLOSED,B1,C-12,A,20,24,4,5,1,1,NA,1,2,0,NA
143,S0.3,DEV1,,CTRL,CLOSED,B1,C-12,B,24,37,3,6,0,4,NA,7,2,5,NA
144,S0.3,DEV1,,CTRL,CLOSED,B1,C-12,C,14,22,7,5,0,1,NA,3,2,3,NA
145,S0.3,DEV1,,CTRL,CLOSED,B1,C-13,A,21,25,2,1,0,9,NA,2,10,6,NA
146,S0.3,DEV1,,CTRL,CLOSED,B1,C-13,B,20,27,0,0,2,0,NA,1,9,2,NA
147,S0.3,DEV1,,CTRL,CLOSED,B1,C-13,C,23,22,4,2,0,0,NA,0,4,3,NA
148,S0.3,DEV1,,CTRL,CLOSED,B1,C-14,A,14,16,0,0,0,4,NA,13,15,6,NA
149,S0.3,DEV1,,CTRL,CLOSED,B1,C-14,B,12,11,0,0,2,6,NA,16,20,9,NA
150,S0.3,DEV1,,CTRL,CLOSED,B1,C-14,C,15,22,0,0,1,4,NA,5,19,8,NA
151,S0.3,DEV1,,CTRL,CLOSED,B1,C-15,A,16,19,4,4,0,4,NA,3,17,4,NA
152,S0.3,DEV1,,CTRL,CLOSED,B1,C-15,B,14,20,1,2,0,2,NA,4,13,5,NA
153,S0.3,DEV1,,CTRL,CLOSED,B1,C-15,C,27,16,0,0,5,6,NA,7,4,7,NA
154,S0.3,DEV1,,CTRL,CLOSED,B1,C-16,A,25,27,3,1,5,7,NA,14,8,2,NA
155,S0.3,DEV1,,CTRL,CLOSED,B1,C-16,B,23,28,0,0,0,1,NA,8,6,6,NA
156,S0.3,DEV1,,CTRL,CLOSED,B1,C-16,C,15,19,1,2,1,4,NA,5,16,6,NA
157,S0.3,DEV1,,CTRL,CLOSED,B1,C-17,A,21,17,3,8,0,2,NA,9,15,3,NA
158,S0.3,DEV1,,CTRL,CLOSED,B1,C-17,B,32,26,1,5,0,4,NA,4,7,9,NA
159,S0.3,DEV1,,CTRL,CLOSED,B1,C-17,C,25,25,1,2,0,4,NA,1,2,5,NA
160,S0.3,DEV1,,CTRL,CLOSED,B1,C-18,A,2,1,0,0,1,18,NA,18,27,12,NA
161,S0.3,DEV1,,CTRL,CLOSED,B1,C-18,B,6,7,0,0,0,8,NA,7,38,5,NA
162,S0.3,DEV1,,CTRL,CLOSED,B1,C-18,C,5,3,2,10,1,3,NA,2,53,7,NA
163,S1.1,E7.2,,WARM,INVAS,B1,C-01,A,22,20,3,1,0,0,0,0,0,0,NA
164,S1.1,E7.2,,WARM,INVAS,B1,C-01,B,25,37,0,0,0,1,2,1,4,0,NA
165,S1.1,E7.2,,WARM,INVAS,B1,C-01,C,29,25,0,0,0,0,0,0,2,1,NA
166,S1.1,E7.2,,CTRL,CLOSED,B1,C-02,A,32,20,0,0,0,1,0,0,14,0,NA
167,S1.1,E7.2,,CTRL,CLOSED,B1,C-02,B,29,34,0,0,0,1,0,2,10,0,NA
168,S1.1,E7.2,,CTRL,CLOSED,B1,C-02,C,27,28,0,0,0,4,0,9,25,0,NA
169,S1.1,E7.2,,HW,CLOSED,B1,C-03,A,26,25,0,1,0,1,0,4,14,0,NA
170,S1.1,E7.2,,HW,CLOSED,B1,C-03,B,28,28,0,0,0,0,0,3,19,0,NA
171,S1.1,E7.2,,HW,CLOSED,B1,C-03,C,22,36,0,0,0,1,0,1,15,0,NA
172,S1.1,E7.2,,WARM,INVAS,B1,C-04,A,31,36,2,3,0,3,0,1,0,1,NA
173,S1.1,E7.2,,WARM,INVAS,B1,C-04,B,36,49,0,0,0,8,0,15,19,0,NA
174,S1.1,E7.2,,WARM,INVAS,B1,C-04,C,28,39,1,0,0,1,2,2,33,0,NA
175,S1.1,E7.2,,WARM,INVAS,B1,C-05,A,5,15,3,2,0,2,1,3,20,1,NA
176,S1.1,E7.2,,WARM,INVAS,B1,C-05,B,47,25,0,0,0,3,0,2,16,1,NA
177,S1.1,E7.2,,WARM,INVAS,B1,C-05,C,17,13,1,3,0,3,2,5,66,0,NA
178,S1.1,E7.2,,HW,CLOSED,B1,C-06,A,10,15,0,1,1,0,0,2,43,0,NA
179,S1.1,E7.2,,HW,CLOSED,B1,C-06,B,19,24,0,0,3,0,0,1,22,0,NA
180,S1.1,E7.2,,HW,CLOSED,B1,C-06,C,34,30,0,0,0,1,0,0,13,0,NA
181,S1.1,E7.2,,HW,INVAS,B1,C-07,A,36,33,0,0,0,1,0,0,6,0,NA
182,S1.1,E7.2,,HW,INVAS,B1,C-07,B,27,23,0,0,0,0,0,0,17,0,NA
183,S1.1,E7.2,,HW,INVAS,B1,C-07,C,21,33,0,0,4,1,0,4,19,0,NA
184,S1.1,E7.2,,CTRL,CLOSED,B1,C-08,A,12,18,1,0,0,1,0,0,28,0,NA
185,S1.1,E7.2,,CTRL,CLOSED,B1,C-08,B,13,18,0,0,0,14,0,8,22,0,NA
186,S1.1,E7.2,,CTRL,CLOSED,B1,C-08,C,11,18,0,0,0,10,0,10,24,0,NA
187,S1.1,E7.2,,CTRL,CLOSED,B1,C-09,A,16,15,0,0,0,4,0,6,39,0,NA
188,S1.1,E7.2,,CTRL,CLOSED,B1,C-09,B,16,11,0,0,0,6,0,12,47,0,NA
189,S1.1,E7.2,,CTRL,CLOSED,B1,C-09,C,28,23,0,0,0,12,0,4,42,0,NA
190,S1.1,E7.2,,WARM,CLOSED,B1,C-10,A,10,7,1,2,0,7,0,11,50,0,NA
191,S1.1,E7.2,,WARM,CLOSED,B1,C-10,B,7,14,2,1,0,7,0,7,42,6,NA
192,S1.1,E7.2,,WARM,CLOSED,B1,C-10,C,11,14,5,6,0,7,0,12,55,2,NA
193,S1.1,E7.2,,HW,INVAS,B1,C-11,A,23,14,1,1,0,5,2,4,20,0,NA
194,S1.1,E7.2,,HW,INVAS,B1,C-11,B,19,16,0,0,7,1,1,11,25,0,NA
195,S1.1,E7.2,,HW,INVAS,B1,C-11,C,29,34,0,0,0,0,2,1,15,0,NA
196,S1.1,E7.2,,HW,CLOSED,B1,C-12,A,33,32,0,0,0,0,0,0,34,0,NA
197,S1.1,E7.2,,HW,CLOSED,B1,C-12,B,13,23,0,0,0,0,0,0,22,0,NA
198,S1.1,E7.2,,HW,CLOSED,B1,C-12,C,30,32,0,0,0,1,0,0,22,0,NA
199,S1.1,E7.2,,WARM,CLOSED,B1,C-13,A,17,13,0,0,0,2,0,2,44,0,NA
200,S1.1,E7.2,,WARM,CLOSED,B1,C-13,B,9,11,1,3,0,6,0,7,46,0,NA
201,S1.1,E7.2,,WARM,CLOSED,B1,C-13,C,14,13,0,1,0,6,0,10,59,2,NA
202,S1.1,E7.2,,CTRL,INVAS,B1,C-14,A,27,21,0,0,0,6,3,9,25,0,NA
203,S1.1,E7.2,,CTRL,INVAS,B1,C-14,B,27,23,0,0,0,2,1,6,22,0,NA
204,S1.1,E7.2,,CTRL,INVAS,B1,C-14,C,14,20,0,0,0,6,0,13,26,0,NA
205,S1.1,E7.2,,HW,INVAS,B1,C-15,A,6,9,0,0,0,8,2,4,22,0,NA
206,S1.1,E7.2,,HW,INVAS,B1,C-15,B,40,28,0,0,0,1,2,1,13,1,NA
